RAZA,SEXO,intercepto,coef_0,coef_1,coef_2,coef_3,coef_4,r2
COBB,HEMBRA,61.12897453075493,0.0,-9.767404175528657,3.4280792211744613,-0.010214428143768377,-3.0658752269940145e-05,0.9999755451027177
COBB,MACHO,61.54917278091807,0.0,-11.845827436780352,3.824257016017712,-0.009002538705968108,-9.231445166923996e-05,0.9999827651759987
COBB,MIXTO,60.710365365501275,0.0,-10.407857253338056,3.5955089997390335,-0.008753393158945591,-6.875025258994927e-05,0.999980084137814
HUBBARD,HEMBRA,11.9425247183608,0.0,7.398407460480558,1.712421758185263,0.03742888747791504,-0.0004666265511756929,0.999996807168278
HUBBARD,MACHO,11.9425247183608,0.0,7.398407460480558,1.712421758185263,0.03742888747791504,-0.0004666265511756929,0.999996807168278
HUBBARD,MIXTO,11.9425247183608,0.0,7.398407460480558,1.712421758185263,0.03742888747791504,-0.0004666265511756929,0.999996807168278
ROSS,HEMBRA,33.977605743785716,0.0,0.7291972559079787,2.3202199382856015,0.013404672488024266,-0.0002376862199276517,0.9999954331297415
ROSS,MACHO,50.12798877964633,0.0,-6.192799999274663,2.7252597815902586,0.017689067115115104,-0.0002801605820667836,0.9999878797957327
ROSS,MIXTO,40.97010637115818,0.0,-2.506502821704419,2.5204956159644176,0.015551952202480223,-0.00025817926308533177,0.9999926014038857
ROSS 308 AP,HEMBRA,5.407667538937403,0.0,11.022659357067047,1.4769611284796786,0.03550997343787245,-0.00042984400234626926,0.9999974178506135
ROSS 308 AP,MACHO,3.3342284017453494,0.0,9.403939108706679,1.4971533767944756,0.04895029188508078,-0.0005426084218180637,0.999998492036154
ROSS 308 AP,MIXTO,4.409380712897018,0.0,10.173109101503263,1.490563407526253,0.04212607335240777,-0.00048523355553672275,0.9999980563012515
